species,Cutoff
Escherichia,0.38
Pantoea,-0.01
Klebsiella,0.28
Sulfitobacter,-0.03
Burkholderia,-0.02
Raoultella,-0.01
Shigella,-0.03
Vibrio,-0.03
Aeromonas,-0.01
Paracoccus,-0.02
Citrobacter,-0.01
Streptococcus,-0.04
Yersinia,-0.04
Proteus,0
Providencia,-0.02
Rhodococcus,-0.02
Ralstonia,-0.04
Salmonella,-0.01
Sinorhizobium,-0.01
Pseudomonas,-0.06
Edwardsiella,-0.01
Agrobacterium,-0.05
Rhizobium,-0.03
Acinetobacter,0
Enterobacter,0.01
Xanthomonas,-0.04
Sphingobium,-0.01
Serratia,-0.03
Bacillus,-0.11
Deinococcus,-0.01
Staphylococcus,-0.45
Neisseria,-0.05
Pseudosulfitobacter,-0.04
Priestia,-0.04
Enterococcus,-0.06
Lactococcus,-0.14
Streptomyces,0
Psychrobacter,-0.06
Piscirickettsia,-0.09
Phaeobacter,-0.02
Nostoc,-0.05
Mycobacterium,-0.03
Listeria,-0.05
Levilactobacillus,-0.04
Leuconostoc,-0.02
Leptospira,-0.05
Lactobacillus,-0.04
Lactiplantibacillus,-0.18
Lacticaseibacillus,-0.03
Helicobacter,-0.04
Clostridium,-0.02
Campylobacter,-0.04
Borreliella,-0.32
Borrelia,-0.03
Bacteroides,-0.03
Arsenophonus,-0.06
