species,Cutoff
Escherichia coli,0.38
Aeromonas caviae,0
Serratia marcescens,-0.01
Agrobacterium tumefaciens,-0.05
Yersinia pestis,-0.07
Klebsiella pneumoniae,0.16
Klebsiella variicola,-0.01
Sinorhizobium meliloti,0
Klebsiella quasipneumoniae,0
Shigella flexneri,-0.02
Xanthomonas citri,-0.06
Rhizobium leguminosarum,-0.07
Campylobacter jejuni,-0.06
Enterobacter cloacae,-0.02
Lacticaseibacillus paracasei,-0.02
Ralstonia solanacearum,-0.02
Escherichia fergusonii,-0.01
Klebsiella michiganensis,0
Shigella sonnei,-0.01
Phaeobacter inhibens,-0.06
Pseudosulfitobacter pseudonitzschiae,-0.06
Citrobacter freundii,-0.02
Salmonella enterica,-0.01
Enterobacter roggenkampii,-0.01
Lactiplantibacillus plantarum,-0.18
Listeria monocytogenes,-0.03
Escherichia albertii,-0.02
Pseudomonas aeruginosa,-0.03
Acinetobacter lwoffii,-0.02
Vibrio parahaemolyticus,-0.01
Acinetobacter baumannii,-0.02
Raoultella ornithinolytica,-0.01
Acinetobacter pittii,-0.03
Enterobacter hormaechei,-0.03
Klebsiella oxytoca,-0.01
Priestia megaterium,-0.05
Staphylococcus epidermidis,-0.07
Enterococcus faecium,-0.1
Staphylococcus aureus,-0.32
Psychrobacter sp.,-0.03
Piscirickettsia salmonis,-0.09
Neisseria gonorrhoeae,-0.01
Levilactobacillus brevis,-0.02
Lactococcus lactis,-0.18
Lactococcus cremoris,-0.03
Helicobacter pylori,-0.02
Enterococcus faecalis,-0.2
Clostridium perfringens,-0.04
Burkholderia glumae,-0.01
Borreliella burgdorferi,-0.07
Borrelia miyamotoi,-0.02
Bacillus thuringiensis,-0.04
Bacillus subtilis,-0.04
Bacillus cereus,-0.04
Bacillus anthracis,-0.01
Acinetobacter seifertii,-0.05
